concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
3020585	3024629	Maps to	19700101	20991231	
3020630	3020630	Maps to	19700101	20991231	
3020630	3020630	Maps to	19700101	20991231	
3020655	3020655	Maps to	19700101	20991231	
3020655	3020655	Maps to	19700101	20991231	
3020891	3020891	Maps to	19960906	20991231	
3020891	3020891	Maps to	19960906	20991231	
3021226	3021226	Maps to	19700101	20991231	
3021226	3021226	Maps to	19700101	20991231	
3021601	3021601	Maps to	19700101	20991231	
3021601	3021601	Maps to	19700101	20991231	
3022192	3022192	Maps to	19700101	20991231	
3022192	3022192	Maps to	19700101	20991231	
3022621	3022621	Maps to	19700101	20991231	
3022621	3022621	Maps to	19700101	20991231	
3022698	3022698	Maps to	19700101	20991231	
3022698	3022698	Maps to	19700101	20991231	
3023103	3023103	Maps to	19700101	20991231	
3023103	3023103	Maps to	19700101	20991231	
3023314	3023314	Maps to	19700101	20991231	
3023314	3023314	Maps to	19700101	20991231	
3023430	3023430	Maps to	19700101	20991231	
3023430	3023430	Maps to	19700101	20991231	
3023539	3023539	Maps to	19700101	20991231	
3023539	3023539	Maps to	19700101	20991231	
3023599	3023599	Maps to	19700101	20991231	
3023599	3023599	Maps to	19700101	20991231	
3024128	3024128	Maps to	19700101	20991231	
3024128	3024128	Maps to	19700101	20991231	
3024171	3024171	Maps to	19960906	20991231	
3024171	3024171	Maps to	19960906	20991231	
3024561	3024561	Maps to	19700101	20991231	
3024561	3024561	Maps to	19700101	20991231	
3024629	3024629	Maps to	19700101	20991231	
3024629	3024629	Maps to	19700101	20991231	
3024717	3024717	Maps to	19700101	20991231	
3024717	3024717	Maps to	19700101	20991231	
3024731	3024731	Maps to	19700101	20991231	
3024731	3024731	Maps to	19700101	20991231	
3024929	3024929	Maps to	19700101	20991231	
3024929	3024929	Maps to	19700101	20991231	
3025315	3025315	Maps to	19700101	20991231	
3025315	3025315	Maps to	19700101	20991231	
3026361	3026361	Maps to	19700101	20991231	
3026361	3026361	Maps to	19700101	20991231	
3027018	3027018	Maps to	19700101	20991231	
3027018	3027018	Maps to	19700101	20991231	
3027114	3027114	Maps to	19700101	20991231	
3027114	3027114	Maps to	19700101	20991231	
3027162	3027162	Maps to	19700101	20991231	
3027162	3027162	Maps to	19700101	20991231	
3027172	3027172	Maps to	19700101	20991231	
3027172	3027172	Maps to	19700101	20991231	
3027231	3027231	Maps to	19700101	20991231	
3027231	3027231	Maps to	19700101	20991231	
3027970	3027970	Maps to	19700101	20991231	
3027970	3027970	Maps to	19700101	20991231	
3028833	3028833	Maps to	20051018	20991231	
3028833	3028833	Maps to	20051018	20991231	
3029187	3029187	Maps to	19700101	20991231	
3029187	3029187	Maps to	19700101	20991231	
3030315	3030315	Maps to	19700101	20991231	
3030315	3030315	Maps to	19700101	20991231	
3030354	46236952	Maps to	20180615	20991231	
3031543	3038553	Maps to	19700101	20991231	
3032503	3032503	Maps to	20070810	20991231	
3032503	3032503	Maps to	20070810	20991231	
3034666	3000963	Maps to	19700101	20991231	
3034745	3020630	Maps to	19700101	20991231	
3035350	3035350	Maps to	19700101	20991231	
3035350	3035350	Maps to	19700101	20991231	
3035921	3009201	Maps to	19700101	20991231	
3035995	3035995	Maps to	19960815	20991231	
3035995	3035995	Maps to	19960815	20991231	
3036277	3036277	Maps to	19960906	20991231	
3036277	3036277	Maps to	19960906	20991231	
3036513	3035995	Maps to	19700101	20991231	
3036780	3036780	Maps to	19700101	20991231	
3036780	3036780	Maps to	19700101	20991231	
3038553	3038553	Maps to	19700101	20991231	
3038553	3038553	Maps to	19700101	20991231	
